,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship
17761,46037,Aligarh,9,549,2,"AL BARKAT INSTITUTE OF MANAGEMENT STUDIES, ALIGARH",181749,27.936503,78.07948,0
17762,16461,Kanchipuram-631 552,33,439,2,University College of Engineering Kancheepuram,181750,12.520001,79.2500001,1
17763,16473,Vellore,33,439,2,Global Institute of Engineering and Technology,181752,12.91464,79.28580999999998,1
17765,53269,Rampurhat,19,569,2,TOSHANI COLLEGE OF EDUCATION,181755,24.305732,88.01035899999998,0
17767,14341,Deoria,9,508,0,"Shanti Devi Memorial Mahila Degree College, Divadhar, Pipramishra, Deoria",181757,26.627008,83.298426,1
17769,14401,Villupuram,33,483,2,Siga College of Education,181762,11.975265,79.53904199999998,1
17770,29418,Chandigarh,4,78,2,"Govt. College of Education, Sector-20",181763,30.719945,76.77802549,0
17772,8348,Saharsa,10,60,2,"Mandan Bharti Agricultural College, Agwanpur",181766,25.55277,86.34077999999998,0
17773,33018,JAGDALPUR,22,81,2,"BODHNI DEVI NURSING INSTITUTE, VILL.&POST-ADWAL, JAGDALPUR",181767,26.12345,89.12345,1
17775,14452,thiruppatur,33,483,0,Arumugam Pillai Seethai Ammal College of Education,181773,10.1106651,78.5603124,0
17776,31121,CHHIBRAMAU,9,283,1,SUBHASH ACADEMY CHHIBRAMAU,181775,27.14901,79.49801,0
17777,13301,Ajmer,8,408,0,Maa Saraswati Shikshak Prashikshan Mahavidyalaya,181776,26.477912,74.653462,0
