,Unnamed: 0,id,no_of_libraries,no_of_laboratories,no_of_conference_halls,no_of_health_centers,no_of_computer_centers,sum
37380,37380,198737,1.0,0.0,0.0,0.0,1.0,2.0
37381,37381,187122,1.0,0.0,1.0,0.0,1.0,3.0
37382,37382,179331,1.0,1.0,1.0,1.0,1.0,5.0
37383,37383,167894,1.0,2.0,1.0,0.0,2.0,6.0
37384,37384,186462,1.0,1.0,1.0,0.0,1.0,4.0
37385,37385,163823,1.0,6.0,1.0,0.0,1.0,9.0
37386,37386,161287,1.0,6.0,0.0,0.0,0.0,7.0
37387,37387,190810,1.0,4.0,0.0,0.0,1.0,6.0
37388,37388,192821,1.0,1.0,1.0,1.0,1.0,5.0
37389,37389,169151,1.0,10.0,1.0,1.0,1.0,14.0
37390,37390,169189,1.0,1.0,1.0,0.0,1.0,4.0
37391,37391,184042,1.0,4.0,1.0,1.0,1.0,8.0
37392,37392,167297,1.0,6.0,0.0,0.0,0.0,7.0
37393,37393,189665,1.0,1.0,1.0,1.0,2.0,6.0
37394,37394,155948,1.0,1.0,1.0,1.0,1.0,5.0
37395,37395,196237,1.0,1.0,1.0,1.0,1.0,5.0
37396,37396,202297,1.0,0.0,1.0,1.0,1.0,4.0
37397,37397,160042,1.0,1.0,1.0,0.0,1.0,4.0
37398,37398,204926,1.0,0.0,0.0,0.0,1.0,2.0
37399,37399,176741,1.0,1.0,1.0,0.0,1.0,4.0
37400,37400,187796,1.0,1.0,1.0,1.0,1.0,5.0
37401,37401,156250,0.0,1.0,1.0,0.0,0.0,2.0
37402,37402,177192,0.0,1.0,0.0,0.0,1.0,2.0
37403,37403,203460,1.0,0.0,1.0,1.0,1.0,4.0
37404,37404,172531,1.0,4.0,1.0,1.0,2.0,9.0
37405,37405,160093,1.0,1.0,1.0,1.0,1.0,5.0
37406,37406,162888,1.0,0.0,0.0,0.0,0.0,1.0
37407,37407,181066,1.0,16.0,1.0,0.0,1.0,19.0
37408,37408,165501,1.0,0.0,1.0,0.0,1.0,3.0
37409,37409,168121,1.0,1.0,1.0,1.0,1.0,5.0
37410,37410,173845,2.0,2.0,0.0,0.0,4.0,8.0
37411,37411,196459,1.0,1.0,1.0,0.0,1.0,4.0
37412,37412,162647,1.0,1.0,1.0,1.0,1.0,5.0
37413,37413,176616,1.0,0.0,1.0,0.0,1.0,3.0
37414,37414,182074,1.0,1.0,1.0,0.0,1.0,4.0
37415,37415,192752,1.0,1.0,1.0,1.0,1.0,5.0
37416,37416,182619,1.0,1.0,1.0,1.0,1.0,5.0
37417,37417,207030,1.0,5.0,2.0,0.0,1.0,9.0
37418,37418,197321,1.0,1.0,1.0,0.0,1.0,4.0
37419,37419,175959,1.0,1.0,1.0,1.0,1.0,5.0
37420,37420,201913,1.0,1.0,0.0,0.0,1.0,3.0
37421,37421,185900,1.0,20.0,1.0,0.0,1.0,23.0
37422,37422,206947,1.0,5.0,0.0,0.0,1.0,7.0
37423,37423,188254,1.0,6.0,1.0,0.0,1.0,9.0
37424,37424,159749,1.0,1.0,1.0,1.0,1.0,5.0
37425,37425,206950,1.0,1.0,1.0,0.0,1.0,4.0
37426,37426,169659,1.0,0.0,1.0,0.0,0.0,2.0
37427,37427,181438,1.0,1.0,0.0,0.0,1.0,3.0
37428,37428,187060,1.0,1.0,1.0,0.0,1.0,4.0
